pest,quarantine_status,rank_entry,hv_entry,rank_establishment,hv_establishment,rank_invasion,hv_invasion,rank_impact,hv_impact
Acleris gloverana,Other quarantine,28,0.039688921,6,0.705573989,29,0.029030417,5,0.484011225
Acleris variana,Other quarantine,26,0.056074507,11,0.607432391,28,0.029305615,5,0.484011225
Acrobasis pyrivorella,Other quarantine,32,0.021770699,21,0.262780325,42,0.003680345,26,0.102467212
Aculops fuchsiae,RNQP,10,0.290325809,27,0.091946273,19,0.051875166,43,0.016958813
Acute Oak Decline,Other non-quarantine,29,0.022357727,16,0.441297994,30,0.01624753,7,0.408306945
Agrilus anxius,Priority,26,0.056074507,4,0.764157545,26,0.041784318,1,0.928572591
Agrilus auroguttatus,Other non-quarantine,29,0.022357727,21,0.262780325,38,0.008137847,9,0.329198163
Agrilus planipennis,Priority,9,0.353318257,6,0.705573989,10,0.239392052,4,0.640131408
Aleurocanthus spiniferus,Other quarantine,6,0.737464594,27,0.091946273,18,0.067972551,53,0.005465422
Aleurocanthus woglumi,Other quarantine,7,0.529675259,27,0.091946273,19,0.051875166,53,0.005465422
Alternaria gaisen,Other non-quarantine,27,0.029060581,25,0.144089069,42,0.003680345,45,0.016759998
Alternaria mali,Other non-quarantine,27,0.029060581,22,0.289056026,33,0.007517891,23,0.146766496
Amauromyza maculosa,Other quarantine,18,0.142503749,18,0.444269944,21,0.048555267,28,0.088181152
American plum line pattern virus,Other quarantine,27,0.029060581,9,0.599838437,29,0.029030417,47,0.016757489
Anastrepha fraterculus,Other quarantine,22,0.097728675,27,0.091946273,33,0.007517891,54,0.005426822
Andean potato latent virus,Other quarantine,26,0.056074507,7,0.681050022,26,0.041784318,21,0.152340631
Andean potato mottle virus,Other quarantine,24,0.076519267,8,0.40493129,25,0.051126318,19,0.184771932
Anisogramma anomala,Other quarantine,36,0.016413208,12,0.551698569,36,0.008554209,17,0.169988202
Anoplophora chinensis,Priority,18,0.142503749,24,0.161782953,27,0.033297434,15,0.218177274
Anoplophora glabripennis,Priority,8,0.39570142,13,0.526209707,11,0.257513352,8,0.383837189
Anthonomus bisignifer,Other quarantine,24,0.076519267,16,0.441297994,27,0.033297434,25,0.111335013
Anthonomus eugenii,Priority,35,0.012289304,23,0.183234528,54,0.000370289,23,0.146766496
Anthonomus quadrigibbus,Other quarantine,29,0.022357727,6,0.705573989,28,0.029305615,30,0.06924495
Anthonomus signatus,Other quarantine,19,0.138222617,15,0.467050143,20,0.08287184,25,0.111335013
Aphelenchoides besseyi,RNQP,9,0.353318257,24,0.161782953,17,0.086704249,33,0.052836155
Apiosporina morbosa,Other quarantine,38,0.01616994,14,0.317692347,39,0.007728808,37,0.040220175
Aromia bungii,Priority,23,0.068292112,8,0.40493129,26,0.041784318,18,0.162460267
Arracacha virus B oca strain,Other quarantine,30,0.031818534,8,0.40493129,31,0.014126919,24,0.128602013
Arrhenodes minutus,Other quarantine,27,0.029060581,12,0.551698569,29,0.029030417,18,0.162460267
Aschistonyx eppoi,Other quarantine,45,0.005872774,23,0.183234528,60,0,44,0.016881705
Atropellis pinicola,Other quarantine,32,0.021770699,11,0.607432391,35,0.010428073,9,0.329198163
Atropellis piniphila,Other quarantine,32,0.021770699,6,0.705573989,33,0.007517891,9,0.329198163
Bactericera cockerelli,Priority,28,0.039688921,5,0.742543799,29,0.029030417,6,0.475537291
Bactrocera cucurbitae,Other quarantine,26,0.056074507,27,0.091946273,40,0.004530649,53,0.005465422
Bactrocera dorsalis,Priority,15,0.199799178,19,0.368951604,20,0.08287184,16,0.199837244
Bactrocera tryoni,Other quarantine,28,0.039688921,20,0.352700607,34,0.011659839,20,0.134267357
Bean golden mosaic virus,Other quarantine,42,0.009465615,29,0.043175871,60,0,42,0.016932861
Beet curly top virus (non-European isolates),Other quarantine,36,0.016413208,15,0.467050143,41,0.003625073,21,0.152340631
Beet leaf curl virus,Other non-quarantine,43,0.009357766,15,0.467050143,46,0.00232969,40,0.026912189
Beet necrotic yellow vein virus,Protected zone,14,0.221569519,6,0.705573989,13,0.189545914,32,0.068841864
Bemisia tabaci (non-European populations),Other quarantine,1,0.985171117,1,0.930983064,2,0.95973177,14,0.248989043
Blitopertha orientalis,Other quarantine,19,0.138222617,19,0.368951604,24,0.057353535,9,0.329198163
Blueberry leaf mottle virus,Other quarantine,33,0.013912688,9,0.599838437,40,0.004530649,33,0.052836155
Blueberry scorch virus,RNQP,10,0.290325809,8,0.40493129,11,0.257513352,24,0.128602013
Botryosphaeria kuwatsukai,Other quarantine,30,0.031818534,23,0.183234528,38,0.008137847,24,0.128602013
Bretziella fagacearum,Other quarantine,27,0.029060581,9,0.599838437,28,0.029305615,5,0.484011225
Burkholderia caryophylli,Other non-quarantine,21,0.109024157,24,0.161782953,30,0.01624753,49,0.016672312
Bursaphelenchus xylophilus,Priority,19,0.138222617,10,0.581944636,20,0.08287184,17,0.169988202
Cacoecimorpha pronubana,Other non-quarantine,12,0.266502632,4,0.764157545,13,0.189545914,19,0.184771932
Cacyreus marshalli,Other non-quarantine,9,0.353318257,17,0.444134548,13,0.189545914,23,0.146766496
Carposina niponensis,Other quarantine,25,0.065574627,12,0.551698569,26,0.041784318,23,0.146766496
Chaetosiphon fragaefolii,RNQP,5,0.831558002,21,0.262780325,10,0.239392052,22,0.165026865
Cherry leaf roll virus,RNQP,25,0.065574627,4,0.764157545,24,0.057353535,27,0.097332883
Cherry rasp leaf virus,Other quarantine,37,0.016322456,12,0.551698569,39,0.007728808,23,0.146766496
Choristoneura conflictana,Other quarantine,30,0.031818534,6,0.705573989,31,0.014126919,20,0.134267357
Choristoneura freemani,Other quarantine,26,0.056074507,7,0.681050022,27,0.033297434,4,0.640131408
Choristoneura fumiferana,Other quarantine,25,0.065574627,5,0.742543799,22,0.042736429,3,0.76304024
